,FPz,EOG1,F3,Fz,F4,EOG2,FC5,FC1,FC2,FC6,T7,C3,C4,Cz,T8,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,PO7,PO3,POz,PO4,PO8,O1,Oz,O2
0,15.633032141442264,18.343544227632734,19.033172225658817,21.26649123848955,21.655785758583825,16.012545256964632,16.951146000527324,21.29287432298091,23.50495896185662,17.797214806074187,15.366344642007173,19.9611760055144,23.633790580220236,22.662079294794854,14.204423693531362,17.47033658884827,23.368974334475983,25.989057995018666,19.06563640385434,18.222626429483974,22.956351555212493,27.703233896059935,22.77942089442709,12.255126540891931,22.9486180105355,27.88819446019798,27.469509098340286,22.37752000019837,17.00107908591089,22.869749816755814,21.13836426899573,20.1954102566133
1,21.72839970388533,17.128783459095516,28.365018020399205,27.844551648192873,28.86523545775804,17.146608526693846,23.5115866244674,27.61457161030132,28.522072387547812,21.43354913845369,19.718509677021487,27.109177735661532,31.034375632765425,28.582446023901486,17.822532675642694,22.041719976532647,31.732652862767516,35.741839495840686,25.079081343153618,20.808493851481707,30.241461588527095,33.44398500229747,31.236969667203233,16.418567676768927,26.37335431783918,34.065910499089775,31.395028073602806,29.309167113022433,22.730494722428148,26.107471434735483,24.329679269501572,24.40692972512573
2,42.9299145251426,24.440549272473596,25.784939482693428,24.41389054872386,22.985465352005452,15.852866367951211,21.328948257962566,23.72741566116367,23.975667223637235,16.162306245212275,16.158193298499512,25.508821384097622,25.482740003760235,25.716640574568647,11.536153261503783,19.44071060108868,30.33914107961819,31.011154584129038,19.44286212769739,14.946446356725929,26.611191107560586,34.05439866401012,27.70391414521422,15.486349919598423,18.9967661841351,26.501427565858858,31.429317459251198,27.204185949095525,20.97864658486011,19.777847151722057,20.52876301240883,21.539373632259075
3,13.58577708086772,11.704445437487903,17.79187399423725,18.18320161664323,19.050772617237826,12.709568218015185,16.591791834557043,19.56345154968492,20.80866524771373,15.338497995882669,14.958654668537415,22.922595818417822,22.204185355016957,23.206580641935666,11.544371964414061,20.1722892160654,27.629627424840905,28.25170905070592,17.400695119516065,18.079960875531377,27.550828505009765,30.84527125904896,24.353766263541022,13.21733943205495,23.80828302778132,30.572227667451443,28.184949618030753,23.219216131381316,17.960567715784922,22.002520238879338,19.515209531642707,19.20348853145625
4,18.348226265851753,16.069182662078372,22.279156996015338,22.500487649087574,22.362974230130444,18.34972710473033,20.287434356544647,24.39669007287961,25.908428808490836,19.081999400210577,18.4425447204647,26.777290676504236,27.906265810124832,27.384439936026013,12.802764822561743,24.325754300236746,32.78200388504838,33.21084169019658,20.811851843220794,23.155891915687896,34.8440264293028,40.325863310921754,31.880594683462565,17.355156716657365,30.536829529573705,40.82899984710278,41.99388442050708,35.47287269881938,26.03796670850872,29.608923815548753,28.773615898518646,29.059020064076048
5,17.260521197972736,12.679184034567358,22.876081259653418,23.130182272147522,22.570750204649805,16.0195817722405,20.47967027988475,24.50167804140728,21.81714484760199,14.209951860139183,17.860369760715173,26.08813370906649,18.931827573894978,22.865136594065568,8.70543536111803,21.79696243718308,25.95943981857028,23.774921610011347,13.998090742465116,17.98552286385747,27.007960456524305,27.55069678163467,21.374309125264592,12.347146061152834,23.126694638619114,29.931803086559132,28.027265772033804,23.096743373539496,18.53770562876894,22.70030624797482,20.741104908464767,19.94057601066755
6,19.35315173513491,13.876976958264594,24.567153299876974,25.2063891138693,21.894756362735844,14.97514277427988,21.191021631859897,24.48386163830275,23.486561141908297,15.621244921835775,20.554599017834267,25.918532466580878,21.66211944566061,24.852037629203647,10.975547750553075,22.899904583552413,28.46600369227421,27.202620878137036,17.587103465524564,21.10757921100227,26.334848692771843,32.83328984327624,24.187704495595227,12.57454310428961,24.583987384446704,29.061103412226785,30.50467403461494,23.719907620247245,17.062568807616948,21.794901573766317,19.643724271799893,19.199291179915345
7,13.802569731469461,11.68073457508918,19.10934715541414,18.973057874031614,17.012332912589905,13.294891247861582,18.280982850546657,21.750630756998138,20.93781721119088,13.975243127721665,16.149752456121803,24.576325620504168,22.16694667746253,23.744987392244877,9.964760464039216,20.38101981015341,27.568229812523533,26.2099305085145,18.323373443778802,17.43109801180765,25.242294200352305,34.345494197436395,26.107635756573526,13.97170179371116,20.45522468378233,25.715203989093236,35.38160373235019,28.83708916576879,20.6239285791957,19.740544949198604,21.310490379072046,22.97309501342926
8,19.34344877640156,12.333878483933011,29.140752019324104,29.001265965385574,26.215853295839096,15.207960363314365,25.272395982752684,31.234430265507157,28.68242170588898,19.696899127453772,20.955833121317628,33.93311556505109,28.650472416908062,31.801854839288705,11.777891344141414,30.937085397188753,39.95671959315907,35.53496196864983,20.299129949327504,27.663807024042356,42.9208466031369,45.016818095676406,31.224668639696905,15.00341170669903,36.382441812588304,47.90548899028837,44.2745421481008,32.428305021411546,24.01899089566934,34.56863763004382,30.273667356120683,28.27675982386506
9,46.9097876030191,21.39099541297632,29.871801648431237,28.500517579467235,27.52659471715968,20.175273986815593,25.953955481121216,26.985955286863344,26.27413883131815,21.736722049836608,20.894585393287013,28.895543989637535,30.752909649719058,26.2991086515422,17.27540490602818,25.209082282822692,30.43369139484189,33.83635369619788,26.03064277591894,22.414214721102944,29.654864609557876,34.10794697625711,32.336795035448404,19.60220454305531,24.54853461673219,29.93418980631884,30.368696994579935,30.449833463276683,24.832983841586245,22.60489271374176,20.643502981475446,22.176557294397902
